feature,importance
Percentil_25_Y-Y,0.0006392780683248161
Percentil_75_Y-Y,0.0007808567840671737
Média_Z-Z,0.0009473682840904233
Mediana_Z-Z,0.000890842636768077
Valor_de_Pico_Z-Z,0.008358193412191007
RMS_Z-Z,0.0008238559191029293
Curtose_Z-Z,0.0015301485229893268
Assimetria_Z-Z,0.0010385707899725131
Desvio_Padrão_Z-Z,0.020591530709184597
Amplitude_Z-Z,0.01588869681122376
Energia_Z-Z,0.0008795791475307007
Percentil_25_Z-Z,0.0010635449968785296
Percentil_75_Z-Z,0.003744943454501043
